"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1961,1961,"ha",790000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1961,1961,"t",590000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1962,1962,"ha",8e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1962,1962,"t",6e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1963,1963,"ha",960000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1963,1963,"t",850000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1964,1964,"ha",930000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1964,1964,"t",720000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1965,1965,"ha",950000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1965,1965,"t",751000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1966,1966,"ha",1100000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1966,1966,"t",880000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1967,1967,"ha",1e+06,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1967,1967,"t",750000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1968,1968,"ha",1014000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1968,1968,"t",551000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1969,1969,"ha",1014000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1969,1969,"t",638000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1970,1970,"ha",1015000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1970,1970,"t",488000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1971,1971,"ha",984900,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1971,1971,"t",719000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1972,1972,"ha",1e+06,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1972,1972,"t",621000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1973,1973,"ha",1e+06,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1973,1973,"t",887000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1974,1974,"ha",1100000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1974,1974,"t",761000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1975,1975,"ha",1100000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1975,1975,"t",1367000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1976,1976,"ha",1300000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1976,1976,"t",1449000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1977,1977,"ha",1300000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1977,1977,"t",1664000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1978,1978,"ha",1300000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1978,1978,"t",1465000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1979,1979,"ha",1300000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1979,1979,"t",1720000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1980,1980,"ha",1400000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1980,1980,"t",1726000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1981,1981,"ha",1350000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1981,1981,"t",1839000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1982,1982,"ha",1231550,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1982,1982,"t",1654000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1983,1983,"ha",1229620,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1983,1983,"t",1651000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1984,1984,"ha",1411830,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1984,1984,"t",1939000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1985,1985,"ha",1576280,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1985,1985,"t",2093000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1986,1986,"ha",1905000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1986,1986,"t",2211000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1987,1987,"ha",1724000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1987,1987,"t",2359000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1988,1988,"ha",1850000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1988,1988,"t",2339000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1989,1989,"ha",1980000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1989,1989,"t",3128000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1990,1990,"ha",1631260,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1990,1990,"t",2445000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1991,1991,"ha",1848300,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1991,1991,"t",2331800,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1992,1992,"ha",1908163,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1992,1992,"t",2226424,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1993,1993,"ha",1824000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1993,1993,"t",2282200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1994,1994,"ha",1203000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1994,1994,"t",1485800,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1995,1995,"ha",1368000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1995,1995,"t",2874400,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1996,1996,"ha",1580000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1996,1996,"t",2822000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1997,1997,"ha",1564000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1997,1997,"t",1831200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1998,1998,"ha",2088000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1998,1998,"t",2684600,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",1999,1999,"ha",957550,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",1999,1999,"t",2420940,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2000,2000,"ha",1017600,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2000,2000,"t",1965400,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2001,2001,"ha",845950,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2001,2001,"t",2652810,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2002,2002,"ha",1718200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2002,2002,"t",4408420,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2003,2003,"ha",3462540,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2003,2003,"t",2613970,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2004,2004,"ha",3173070,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2004,2004,"t",4651370,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2005,2005,"ha",3109590,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2005,2005,"t",3131610,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2006,2006,"ha",2570147,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2006,2006,"t",3423020,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2007,2007,"ha",2600341,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2007,2007,"t",3659000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2008,2008,"ha",3980970,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2008,2008,"t",5440710,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2009,2009,"ha",2961334,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2009,2009,"t",3326200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2010,2010,"ha",3050710,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2010,2010,"t",4733070,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2011,2011,"ha",3287850,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2011,2011,"t",4340823,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2012,2012,"ha",4118117,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2012,2012,"t",5104248,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2013,2013,"ha",4120269,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2013,2013,"t",5356350,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2014,2014,"ha",4146000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2014,2014,"t",6737197,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2015,2015,"ha",3787751,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2015,2015,"t",5902776,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2016,2016,"ha",3878099,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2016,2016,"t",6149000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2017,2017,"ha",3817879,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2017,2017,"t",6680758,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2018,2018,"ha",3546448,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2018,2018,"t",6273151,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",112,"Maize (corn)",2019,2019,"ha",3428630,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",112,"Maize (corn)",2019,2019,"t",5652005,"A","Official figure",""
